,PUBCHEM_SID
2314,3715182
2315,3715280
2316,3715280
2317,3715280
2318,3715280
2319,3715280
2320,3715293
2321,3715293
2322,3715293
2323,3715293
2324,3715293
2325,3715298
2326,3715298
2327,3715298
2328,3715298
2329,3715298
2330,3715304
2331,3715304
2332,3715304
2333,3715304
2334,3715304
2335,3715354
2336,3715354
2337,3715354
2338,3715354
2339,3715354
2340,3715479
2341,3715479
2342,3715479
2343,3715479
2344,3715479
2345,3715494
2346,3715494
2347,3715494
2348,3715494
2349,3715494
2350,3715559
2351,3715559
2352,3715559
2353,3715559
2354,3715559
2355,3715599
2356,3715599
2357,3715599
2358,3715599
2359,3715599
2360,3715610
2361,3715610
2362,3715610
2363,3715610
2364,3715610
2365,3715632
2366,3715632
2367,3715632
2368,3715632
2369,3715632
2370,3715648
2371,3715648
2372,3715648
2373,3715648
2374,3715648
2375,3715858
2376,3715858
2377,3715858
2378,3715858
2379,3715858
2380,3715879
2381,3715879
2382,3715879
2383,3715879
2384,3715879
2385,3715881
2386,3715881
2387,3715881
2388,3715881
2389,3715881
2390,3716051
2391,3716051
2392,3716051
2393,3716051
2394,3716051
2395,3716063
2396,3716063
2397,3716063
2398,3716063
2399,3716063
2400,3716276
2401,3716276
2402,3716276
2403,3716276
2404,3716276
2405,3716390
2406,3716390
2407,3716390
2408,3716390
2409,3716390
2410,3716435
2411,3716435
2412,3716435
